"","strain","hit_score.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","hit_id.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","description.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","hit_score.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","hit_id.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","description.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","hit_score.methylmalonyl-CoA-epimerase-EC5-1-99-1","hit_id.methylmalonyl-CoA-epimerase-EC5-1-99-1","description.methylmalonyl-CoA-epimerase-EC5-1-99-1","hit_score.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","hit_id.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","description.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","hit_score.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","hit_id.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","description.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","hit_score.methylmalonyl-CoA-mutase-EC5-4-99-2","hit_id.methylmalonyl-CoA-mutase-EC5-4-99-2","description.methylmalonyl-CoA-mutase-EC5-4-99-2","hit_score.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","hit_id.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","description.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","hit_score.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","hit_id.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","description.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","hit_score.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","hit_id.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","description.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","pathway","hit_score.acrC","hit_id.acrC","description.acrC","hit_score.lcdC","hit_id.lcdC","description.lcdC","hit_score.pct","hit_id.pct","description.pct","hit_score.lcdB","hit_id.lcdB","description.lcdB","hit_score.lcdA","hit_id.lcdA","description.lcdA","hit_score.Roseburia-inulivorans-pduCDE","hit_id.Roseburia-inulivorans-pduCDE","hit_score.pduW","hit_id.pduW","hit_score.pduP","hit_id.pduP","hit_score.fucO","hit_id.fucO","hit_score.pduL","hit_id.pduL","hit_score.pduC","hit_id.pduC","hit_score.pduD","hit_id.pduD","hit_score.pduE","hit_id.pduE"
"21","Bacteroides-rodentium-JCM-16496-MAF-2",611.2,"1_3756/9-385","Bacteroides-rodentium-JCM-16496-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",199.4,"1_3755/1-143","Bacteroides-rodentium-JCM-16496-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",246,"1_3752/16-170","Bacteroides-rodentium-JCM-16496-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",939.1,"1_3753/3-517","Bacteroides-rodentium-JCM-16496-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",91.3,"1_3754/187-304","Bacteroides-rodentium-JCM-16496-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",856.7,"1_4135/10-711","Bacteroides-rodentium-JCM-16496-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Bacteroides-sp-3-1-19-MAF-2",610.3,"1_161/9-385","Bacteroides-sp-3-1-19-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",194.6,"1_162/1-142","Bacteroides-sp-3-1-19-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",244,"1_165/1-134","Bacteroides-sp-3-1-19-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",941.3,"1_164/3-517","Bacteroides-sp-3-1-19-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",97.8,"1_163/174-291","Bacteroides-sp-3-1-19-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",844.9,"1_2536/1-618","Bacteroides-sp-3-1-19-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Bacteroides-sp-9-1-42FAA-MAF-2",613,"1_2808/8-385","Bacteroides-sp-9-1-42FAA-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",199.3,"1_2809/1-143","Bacteroides-sp-9-1-42FAA-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",238.7,"1_2812/1-137","Bacteroides-sp-9-1-42FAA-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",941.2,"1_2811/3-517","Bacteroides-sp-9-1-42FAA-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",90.2,"1_2810/178-304","Bacteroides-sp-9-1-42FAA-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",865,"1_337/1-635","Bacteroides-sp-9-1-42FAA-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Bacteroides-sp-D2-MAF-2",611.4,"1_4894/8-385","Bacteroides-sp-D2-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",201.2,"1_4893/1-143","Bacteroides-sp-D2-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",240,"1_4890/1-134","Bacteroides-sp-D2-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",933.7,"1_4891/3-517","Bacteroides-sp-D2-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",87,"1_4892/186-300","Bacteroides-sp-D2-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",856.2,"1_5215/1-631","Bacteroides-sp-D2-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Bacteroides-stercoris-ATCC-43183-MAF-2",609.9,"1_2868/9-385","Bacteroides-stercoris-ATCC-43183-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",199.8,"1_2867/1-143","Bacteroides-stercoris-ATCC-43183-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",239.7,"1_2864/1-136","Bacteroides-stercoris-ATCC-43183-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",938.8,"1_2865/3-517","Bacteroides-stercoris-ATCC-43183-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",87.6,"1_2866/188-305","Bacteroides-stercoris-ATCC-43183-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",860.7,"1_3379/10-711","Bacteroides-stercoris-ATCC-43183-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Bacteroides-thetaiotaomicron-1-1-6-MAF-2",613.1,"1_4590/8-385","Bacteroides-thetaiotaomicron-1-1-6-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",203.7,"1_4589/1-144","Bacteroides-thetaiotaomicron-1-1-6-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",241.4,"1_4586/1-134","Bacteroides-thetaiotaomicron-1-1-6-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",936.6,"1_4587/3-517","Bacteroides-thetaiotaomicron-1-1-6-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",89.3,"1_4588/188-303","Bacteroides-thetaiotaomicron-1-1-6-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",857.6,"1_5258/1-631","Bacteroides-thetaiotaomicron-1-1-6-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2",612.7,"1_4447/8-385","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",203.5,"1_4446/1-144","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",241.4,"1_4443/1-134","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",936.6,"1_4444/3-517","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",89.3,"1_4445/188-303","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",860,"1_4857/1-631","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Bacteroides-uniformis-ATCC-8492-MAF-2",610.8,"1_2145/9-385","Bacteroides-uniformis-ATCC-8492-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",200.2,"1_2146/1-144","Bacteroides-uniformis-ATCC-8492-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",246.4,"1_2149/16-170","Bacteroides-uniformis-ATCC-8492-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",938.5,"1_2148/3-517","Bacteroides-uniformis-ATCC-8492-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",90.6,"1_2147/186-305","Bacteroides-uniformis-ATCC-8492-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",857.8,"1_3758/1-630","Bacteroides-uniformis-ATCC-8492-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Bacteroides-xylanisolvens-SD-CC-1b-MAF-2",616.4,"1_4421/8-385","Bacteroides-xylanisolvens-SD-CC-1b-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",202.5,"1_4420/1-143","Bacteroides-xylanisolvens-SD-CC-1b-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",241.4,"1_4417/1-134","Bacteroides-xylanisolvens-SD-CC-1b-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",936.5,"1_4418/3-517","Bacteroides-xylanisolvens-SD-CC-1b-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",86.1,"1_4419/187-300","Bacteroides-xylanisolvens-SD-CC-1b-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",858.4,"1_4760/10-711","Bacteroides-xylanisolvens-SD-CC-1b-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Bacteroides_acidifaciens",616.1,"NZ_CAJTFZ010000039.1_6/8-385","Bacteroides_acidifaciens_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",201.9,"NZ_CAJTFZ010000039.1_7/1-143","Bacteroides_acidifaciens_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",240.1,"NZ_CAJTFZ010000039.1_10/1-134","Bacteroides_acidifaciens_methylmalonyl-CoA-epimerase-EC5-1-99-1",936.5,"NZ_CAJTFZ010000039.1_9/3-517","Bacteroides_acidifaciens_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",86.3,"NZ_CAJTFZ010000039.1_8/191-301","Bacteroides_acidifaciens_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",858.8,"NZ_CAJTFZ010000002.1_106/1-632","Bacteroides_acidifaciens_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Bacteroides_barnesiae",614.2,"NZ_KB894647.1_64/8-385","Bacteroides_barnesiae_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",195,"NZ_KB894647.1_65/1-142","Bacteroides_barnesiae_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",242.2,"NZ_KB894647.1_68/1-134","Bacteroides_barnesiae_methylmalonyl-CoA-epimerase-EC5-1-99-1",936.1,"NZ_KB894647.1_67/3-517","Bacteroides_barnesiae_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",95.4,"NZ_KB894647.1_66/186-304","Bacteroides_barnesiae_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",855.6,"NZ_KB894652.1_59/12-710","Bacteroides_barnesiae_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Bacteroides_clarus",609.7,"NZ_JADNLF010000006.1_146/9-385","Bacteroides_clarus_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",199.9,"NZ_JADNLF010000006.1_147/1-143","Bacteroides_clarus_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",241.2,"NZ_JADNLF010000006.1_150/1-136","Bacteroides_clarus_methylmalonyl-CoA-epimerase-EC5-1-99-1",936.4,"NZ_JADNLF010000006.1_149/3-517","Bacteroides_clarus_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",87.9,"NZ_JADNLF010000006.1_148/185-305","Bacteroides_clarus_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",860,"NZ_JADNLF010000015.1_24/10-711","Bacteroides_clarus_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Bacteroides_coprocola",618.4,"NZ_DS981452.1_22/8-385","Bacteroides_coprocola_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",194.9,"NZ_DS981452.1_23/1-142","Bacteroides_coprocola_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",239.3,"NZ_DS981452.1_26/1-134","Bacteroides_coprocola_methylmalonyl-CoA-epimerase-EC5-1-99-1",942.6,"NZ_DS981452.1_25/3-517","Bacteroides_coprocola_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",85.9,"NZ_DS981452.1_24/188-304","Bacteroides_coprocola_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",866.1,"NZ_DS981509.1_16/1-621","Bacteroides_coprocola_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Bacteroides_faecichinchillae",617.4,"NZ_FQVD01000015.1_52/9-385","Bacteroides_faecichinchillae_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",199.9,"NZ_FQVD01000015.1_53/1-145","Bacteroides_faecichinchillae_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",238.9,"NZ_FQVD01000015.1_56/1-134","Bacteroides_faecichinchillae_methylmalonyl-CoA-epimerase-EC5-1-99-1",935.7,"NZ_FQVD01000015.1_55/3-517","Bacteroides_faecichinchillae_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",85.8,"NZ_FQVD01000015.1_54/187-301","Bacteroides_faecichinchillae_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",858,"NZ_FQVD01000010.1_53/1-631","Bacteroides_faecichinchillae_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Bacteroides_faecis",617.5,"NZ_CP081916.1_4417/8-385","Bacteroides_faecis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",203,"NZ_CP081916.1_4416/1-144","Bacteroides_faecis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",241.5,"NZ_CP081916.1_4413/1-134","Bacteroides_faecis_methylmalonyl-CoA-epimerase-EC5-1-99-1",937.5,"NZ_CP081916.1_4414/3-517","Bacteroides_faecis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",90.7,"NZ_CP081916.1_4415/187-303","Bacteroides_faecis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",862.9,"NZ_CP081916.1_5007/1-631","Bacteroides_faecis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Bacteroides_fluxus",609.1,"NZ_GL882602.1_12/9-385","Bacteroides_fluxus_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",199.6,"NZ_GL882602.1_13/1-146","Bacteroides_fluxus_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",240.8,"NZ_GL882602.1_16/1-137","Bacteroides_fluxus_methylmalonyl-CoA-epimerase-EC5-1-99-1",936.7,"NZ_GL882602.1_15/3-517","Bacteroides_fluxus_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",90.7,"NZ_GL882602.1_14/183-305","Bacteroides_fluxus_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",856.7,"NZ_GL882657.1_19/1-631","Bacteroides_fluxus_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Bacteroides_fragilis",612.9,"NZ_CP069563.1_3967/9-385","Bacteroides_fragilis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",200.7,"NZ_CP069563.1_3968/1-143","Bacteroides_fragilis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",239.1,"NZ_CP069563.1_3971/1-134","Bacteroides_fragilis_methylmalonyl-CoA-epimerase-EC5-1-99-1",934.8,"NZ_CP069563.1_3970/3-517","Bacteroides_fragilis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",98.1,"NZ_CP069563.1_3969/175-300","Bacteroides_fragilis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",860.1,"NZ_CP069563.1_3473/1-630","Bacteroides_fragilis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Bacteroides_gallinarum",609.9,"NZ_KB894194.1_8/9-385","Bacteroides_gallinarum_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",197.5,"NZ_KB894194.1_7/1-143","Bacteroides_gallinarum_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",239.2,"NZ_KB894194.1_4/1-136","Bacteroides_gallinarum_methylmalonyl-CoA-epimerase-EC5-1-99-1",934.4,"NZ_KB894194.1_5/3-517","Bacteroides_gallinarum_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",88.6,"NZ_KB894194.1_6/185-305","Bacteroides_gallinarum_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",859.6,"NZ_KB894154.1_23/1-617","Bacteroides_gallinarum_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Bacteroides_graminisolvens",607.9,"NZ_ATZI01000024.1_22/4-385","Bacteroides_graminisolvens_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",199.3,"NZ_ATZI01000024.1_21/1-143","Bacteroides_graminisolvens_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",246.1,"NZ_ATZI01000024.1_18/1-134","Bacteroides_graminisolvens_methylmalonyl-CoA-epimerase-EC5-1-99-1",943.2,"NZ_ATZI01000024.1_19/3-517","Bacteroides_graminisolvens_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",92.4,"NZ_ATZI01000024.1_20/195-311","Bacteroides_graminisolvens_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",854.6,"NZ_ATZI01000006.1_49/11-711","Bacteroides_graminisolvens_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Bacteroides_massiliensis",610.9,"NZ_JADMUT010000001.1_166/8-385","Bacteroides_massiliensis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",198.1,"NZ_JADMUT010000001.1_165/1-143","Bacteroides_massiliensis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",239.3,"NZ_JADMUT010000001.1_162/1-137","Bacteroides_massiliensis_methylmalonyl-CoA-epimerase-EC5-1-99-1",943.6,"NZ_JADMUT010000001.1_163/3-517","Bacteroides_massiliensis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",88.2,"NZ_JADMUT010000001.1_164/181-304","Bacteroides_massiliensis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",871.4,"NZ_JADMUT010000012.1_32/1-618","Bacteroides_massiliensis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Bacteroides_nordii",616.4,"NZ_CP082886.1_2478/10-385","Bacteroides_nordii_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",196,"NZ_CP082886.1_2477/1-147","Bacteroides_nordii_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",241.4,"NZ_CP082886.1_2474/1-134","Bacteroides_nordii_methylmalonyl-CoA-epimerase-EC5-1-99-1",939.5,"NZ_CP082886.1_2475/3-517","Bacteroides_nordii_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",99,"NZ_CP082886.1_2476/181-300","Bacteroides_nordii_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",853.2,"NZ_CP082886.1_2717/10-711","Bacteroides_nordii_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Bacteroides_oleiciplenus",613.8,"NZ_CABKRN010000001.1_1362/8-385","Bacteroides_oleiciplenus_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",201.4,"NZ_CABKRN010000001.1_1361/1-142","Bacteroides_oleiciplenus_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",244.7,"NZ_CABKRN010000001.1_1358/1-136","Bacteroides_oleiciplenus_methylmalonyl-CoA-epimerase-EC5-1-99-1",934.4,"NZ_CABKRN010000001.1_1359/3-517","Bacteroides_oleiciplenus_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",94.3,"NZ_CABKRN010000001.1_1360/173-305","Bacteroides_oleiciplenus_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",866.6,"NZ_CABKRN010000003.1_353/1-617","Bacteroides_oleiciplenus_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Bacteroides_pyogenes",610.3,"NZ_VKLY01000014.1_39/9-385","Bacteroides_pyogenes_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",196.7,"NZ_VKLY01000014.1_38/1-143","Bacteroides_pyogenes_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",238.9,"NZ_VKLY01000014.1_35/1-134","Bacteroides_pyogenes_methylmalonyl-CoA-epimerase-EC5-1-99-1",935.1,"NZ_VKLY01000014.1_36/3-517","Bacteroides_pyogenes_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",82.5,"NZ_VKLY01000014.1_37/190-301","Bacteroides_pyogenes_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",853.9,"NZ_VKLY01000011.1_75/10-711","Bacteroides_pyogenes_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
