"","strain","hit_score.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","hit_id.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","description.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","hit_score.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","hit_id.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","description.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","hit_score.methylmalonyl-CoA-epimerase-EC5-1-99-1","hit_id.methylmalonyl-CoA-epimerase-EC5-1-99-1","description.methylmalonyl-CoA-epimerase-EC5-1-99-1","hit_score.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","hit_id.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","description.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","hit_score.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","hit_id.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","description.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","hit_score.methylmalonyl-CoA-mutase-EC5-4-99-2","hit_id.methylmalonyl-CoA-mutase-EC5-4-99-2","description.methylmalonyl-CoA-mutase-EC5-4-99-2","hit_score.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","hit_id.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","description.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","hit_score.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","hit_id.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","description.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","hit_score.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","hit_id.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","description.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","pathway"
"395","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2",612.7,"1_4447/8-385","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",203.5,"1_4446/1-144","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",241.4,"1_4443/1-134","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",936.6,"1_4444/3-517","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",89.3,"1_4445/188-303","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",860,"1_4857/1-631","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"401","Bacteroides-uniformis-ATCC-8492-MAF-2",610.8,"1_2145/9-385","Bacteroides-uniformis-ATCC-8492-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",200.2,"1_2146/1-144","Bacteroides-uniformis-ATCC-8492-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",246.4,"1_2149/16-170","Bacteroides-uniformis-ATCC-8492-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",938.5,"1_2148/3-517","Bacteroides-uniformis-ATCC-8492-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",90.6,"1_2147/186-305","Bacteroides-uniformis-ATCC-8492-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",857.8,"1_3758/1-630","Bacteroides-uniformis-ATCC-8492-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"407","Bacteroides-xylanisolvens-SD-CC-1b-MAF-2",616.4,"1_4421/8-385","Bacteroides-xylanisolvens-SD-CC-1b-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",202.5,"1_4420/1-143","Bacteroides-xylanisolvens-SD-CC-1b-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",241.4,"1_4417/1-134","Bacteroides-xylanisolvens-SD-CC-1b-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",936.5,"1_4418/3-517","Bacteroides-xylanisolvens-SD-CC-1b-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",86.1,"1_4419/187-300","Bacteroides-xylanisolvens-SD-CC-1b-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",858.4,"1_4760/10-711","Bacteroides-xylanisolvens-SD-CC-1b-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"413","Bacteroides_acidifaciens",616.1,"NZ_CAJTFZ010000039.1_6/8-385","Bacteroides_acidifaciens_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",201.9,"NZ_CAJTFZ010000039.1_7/1-143","Bacteroides_acidifaciens_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",240.1,"NZ_CAJTFZ010000039.1_10/1-134","Bacteroides_acidifaciens_methylmalonyl-CoA-epimerase-EC5-1-99-1",936.5,"NZ_CAJTFZ010000039.1_9/3-517","Bacteroides_acidifaciens_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",86.3,"NZ_CAJTFZ010000039.1_8/191-301","Bacteroides_acidifaciens_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",858.8,"NZ_CAJTFZ010000002.1_106/1-632","Bacteroides_acidifaciens_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"419","Bacteroides_barnesiae",614.2,"NZ_KB894647.1_64/8-385","Bacteroides_barnesiae_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",195,"NZ_KB894647.1_65/1-142","Bacteroides_barnesiae_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",242.2,"NZ_KB894647.1_68/1-134","Bacteroides_barnesiae_methylmalonyl-CoA-epimerase-EC5-1-99-1",936.1,"NZ_KB894647.1_67/3-517","Bacteroides_barnesiae_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",95.4,"NZ_KB894647.1_66/186-304","Bacteroides_barnesiae_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",855.6,"NZ_KB894652.1_59/12-710","Bacteroides_barnesiae_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"425","Bacteroides_clarus",609.7,"NZ_JADNLF010000006.1_146/9-385","Bacteroides_clarus_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",199.9,"NZ_JADNLF010000006.1_147/1-143","Bacteroides_clarus_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",241.2,"NZ_JADNLF010000006.1_150/1-136","Bacteroides_clarus_methylmalonyl-CoA-epimerase-EC5-1-99-1",936.4,"NZ_JADNLF010000006.1_149/3-517","Bacteroides_clarus_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",87.9,"NZ_JADNLF010000006.1_148/185-305","Bacteroides_clarus_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",860,"NZ_JADNLF010000015.1_24/10-711","Bacteroides_clarus_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"432","Bacteroides_coprocola",618.4,"NZ_DS981452.1_22/8-385","Bacteroides_coprocola_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",194.9,"NZ_DS981452.1_23/1-142","Bacteroides_coprocola_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",239.3,"NZ_DS981452.1_26/1-134","Bacteroides_coprocola_methylmalonyl-CoA-epimerase-EC5-1-99-1",942.6,"NZ_DS981452.1_25/3-517","Bacteroides_coprocola_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",85.9,"NZ_DS981452.1_24/188-304","Bacteroides_coprocola_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",866.1,"NZ_DS981509.1_16/1-621","Bacteroides_coprocola_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"438","Bacteroides_faecichinchillae",617.4,"NZ_FQVD01000015.1_52/9-385","Bacteroides_faecichinchillae_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",199.9,"NZ_FQVD01000015.1_53/1-145","Bacteroides_faecichinchillae_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",238.9,"NZ_FQVD01000015.1_56/1-134","Bacteroides_faecichinchillae_methylmalonyl-CoA-epimerase-EC5-1-99-1",935.7,"NZ_FQVD01000015.1_55/3-517","Bacteroides_faecichinchillae_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",85.8,"NZ_FQVD01000015.1_54/187-301","Bacteroides_faecichinchillae_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",858,"NZ_FQVD01000010.1_53/1-631","Bacteroides_faecichinchillae_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"444","Bacteroides_faecis",617.5,"NZ_CP081916.1_4417/8-385","Bacteroides_faecis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",203,"NZ_CP081916.1_4416/1-144","Bacteroides_faecis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",241.5,"NZ_CP081916.1_4413/1-134","Bacteroides_faecis_methylmalonyl-CoA-epimerase-EC5-1-99-1",937.5,"NZ_CP081916.1_4414/3-517","Bacteroides_faecis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",90.7,"NZ_CP081916.1_4415/187-303","Bacteroides_faecis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",862.9,"NZ_CP081916.1_5007/1-631","Bacteroides_faecis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"450","Bacteroides_fluxus",609.1,"NZ_GL882602.1_12/9-385","Bacteroides_fluxus_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",199.6,"NZ_GL882602.1_13/1-146","Bacteroides_fluxus_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",240.8,"NZ_GL882602.1_16/1-137","Bacteroides_fluxus_methylmalonyl-CoA-epimerase-EC5-1-99-1",936.7,"NZ_GL882602.1_15/3-517","Bacteroides_fluxus_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",90.7,"NZ_GL882602.1_14/183-305","Bacteroides_fluxus_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",856.7,"NZ_GL882657.1_19/1-631","Bacteroides_fluxus_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"456","Bacteroides_fragilis",612.9,"NZ_CP069563.1_3967/9-385","Bacteroides_fragilis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",200.7,"NZ_CP069563.1_3968/1-143","Bacteroides_fragilis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",239.1,"NZ_CP069563.1_3971/1-134","Bacteroides_fragilis_methylmalonyl-CoA-epimerase-EC5-1-99-1",934.8,"NZ_CP069563.1_3970/3-517","Bacteroides_fragilis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",98.1,"NZ_CP069563.1_3969/175-300","Bacteroides_fragilis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",860.1,"NZ_CP069563.1_3473/1-630","Bacteroides_fragilis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"462","Bacteroides_gallinarum",609.9,"NZ_KB894194.1_8/9-385","Bacteroides_gallinarum_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",197.5,"NZ_KB894194.1_7/1-143","Bacteroides_gallinarum_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",239.2,"NZ_KB894194.1_4/1-136","Bacteroides_gallinarum_methylmalonyl-CoA-epimerase-EC5-1-99-1",934.4,"NZ_KB894194.1_5/3-517","Bacteroides_gallinarum_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",88.6,"NZ_KB894194.1_6/185-305","Bacteroides_gallinarum_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",859.6,"NZ_KB894154.1_23/1-617","Bacteroides_gallinarum_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"468","Bacteroides_graminisolvens",607.9,"NZ_ATZI01000024.1_22/4-385","Bacteroides_graminisolvens_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",199.3,"NZ_ATZI01000024.1_21/1-143","Bacteroides_graminisolvens_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",246.1,"NZ_ATZI01000024.1_18/1-134","Bacteroides_graminisolvens_methylmalonyl-CoA-epimerase-EC5-1-99-1",943.2,"NZ_ATZI01000024.1_19/3-517","Bacteroides_graminisolvens_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",92.4,"NZ_ATZI01000024.1_20/195-311","Bacteroides_graminisolvens_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",854.6,"NZ_ATZI01000006.1_49/11-711","Bacteroides_graminisolvens_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"474","Bacteroides_massiliensis",610.9,"NZ_JADMUT010000001.1_166/8-385","Bacteroides_massiliensis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",198.1,"NZ_JADMUT010000001.1_165/1-143","Bacteroides_massiliensis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",239.3,"NZ_JADMUT010000001.1_162/1-137","Bacteroides_massiliensis_methylmalonyl-CoA-epimerase-EC5-1-99-1",943.6,"NZ_JADMUT010000001.1_163/3-517","Bacteroides_massiliensis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",88.2,"NZ_JADMUT010000001.1_164/181-304","Bacteroides_massiliensis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",871.4,"NZ_JADMUT010000012.1_32/1-618","Bacteroides_massiliensis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"480","Bacteroides_nordii",616.4,"NZ_CP082886.1_2478/10-385","Bacteroides_nordii_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",196,"NZ_CP082886.1_2477/1-147","Bacteroides_nordii_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",241.4,"NZ_CP082886.1_2474/1-134","Bacteroides_nordii_methylmalonyl-CoA-epimerase-EC5-1-99-1",939.5,"NZ_CP082886.1_2475/3-517","Bacteroides_nordii_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",99,"NZ_CP082886.1_2476/181-300","Bacteroides_nordii_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",853.2,"NZ_CP082886.1_2717/10-711","Bacteroides_nordii_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"486","Bacteroides_oleiciplenus",613.8,"NZ_CABKRN010000001.1_1362/8-385","Bacteroides_oleiciplenus_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",201.4,"NZ_CABKRN010000001.1_1361/1-142","Bacteroides_oleiciplenus_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",244.7,"NZ_CABKRN010000001.1_1358/1-136","Bacteroides_oleiciplenus_methylmalonyl-CoA-epimerase-EC5-1-99-1",934.4,"NZ_CABKRN010000001.1_1359/3-517","Bacteroides_oleiciplenus_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",94.3,"NZ_CABKRN010000001.1_1360/173-305","Bacteroides_oleiciplenus_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",866.6,"NZ_CABKRN010000003.1_353/1-617","Bacteroides_oleiciplenus_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"492","Bacteroides_pyogenes",610.3,"NZ_VKLY01000014.1_39/9-385","Bacteroides_pyogenes_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",196.7,"NZ_VKLY01000014.1_38/1-143","Bacteroides_pyogenes_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",238.9,"NZ_VKLY01000014.1_35/1-134","Bacteroides_pyogenes_methylmalonyl-CoA-epimerase-EC5-1-99-1",935.1,"NZ_VKLY01000014.1_36/3-517","Bacteroides_pyogenes_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",82.5,"NZ_VKLY01000014.1_37/190-301","Bacteroides_pyogenes_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",853.9,"NZ_VKLY01000011.1_75/10-711","Bacteroides_pyogenes_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"498","Bacteroides_salanitronis",615.9,"NC_015164.1_2965/7-385","Bacteroides_salanitronis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",194.5,"NC_015164.1_2966/1-142","Bacteroides_salanitronis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",236.2,"NC_015164.1_2969/1-134","Bacteroides_salanitronis_methylmalonyl-CoA-epimerase-EC5-1-99-1",942.9,"NC_015164.1_2968/3-517","Bacteroides_salanitronis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",91.5,"NC_015164.1_2967/188-305","Bacteroides_salanitronis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",852.3,"NC_015164.1_558/12-711","Bacteroides_salanitronis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"504","Bacteroides_salyersiae",615.7,"NZ_CYXS01000014.1_39/10-385","Bacteroides_salyersiae_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",194,"NZ_CYXS01000014.1_38/1-147","Bacteroides_salyersiae_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",241.4,"NZ_CYXS01000014.1_35/1-134","Bacteroides_salyersiae_methylmalonyl-CoA-epimerase-EC5-1-99-1",938,"NZ_CYXS01000014.1_36/3-517","Bacteroides_salyersiae_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",95.6,"NZ_CYXS01000014.1_37/181-300","Bacteroides_salyersiae_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",864.2,"NZ_CYXS01000006.1_97/1-630","Bacteroides_salyersiae_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"510","Bacteroides_sartorii",610.3,"NZ_JABVZU010000003.1_2304/8-385","Bacteroides_sartorii_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",200.6,"NZ_JABVZU010000003.1_2303/1-143","Bacteroides_sartorii_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",238.6,"NZ_JABVZU010000003.1_2300/1-137","Bacteroides_sartorii_methylmalonyl-CoA-epimerase-EC5-1-99-1",940.4,"NZ_JABVZU010000003.1_2301/3-517","Bacteroides_sartorii_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",93.6,"NZ_JABVZU010000003.1_2302/176-304","Bacteroides_sartorii_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",867.8,"NZ_JABVZU010000003.1_2718/1-635","Bacteroides_sartorii_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"516","Bacteroides_stercorirosoris",615,"NZ_FQZN01000030.1_16/9-385","Bacteroides_stercorirosoris_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",201.3,"NZ_FQZN01000030.1_17/1-141","Bacteroides_stercorirosoris_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",243.6,"NZ_FQZN01000030.1_20/1-136","Bacteroides_stercorirosoris_methylmalonyl-CoA-epimerase-EC5-1-99-1",935.6,"NZ_FQZN01000030.1_19/3-517","Bacteroides_stercorirosoris_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",92.1,"NZ_FQZN01000030.1_18/178-305","Bacteroides_stercorirosoris_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",866.1,"NZ_FQZN01000027.1_11/1-618","Bacteroides_stercorirosoris_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"522","Bacteroides_thetaiotaomicron",612.7,"NZ_CP040530.1_4428/8-385","Bacteroides_thetaiotaomicron_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",203.5,"NZ_CP040530.1_4427/1-144","Bacteroides_thetaiotaomicron_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",241.4,"NZ_CP040530.1_4424/1-134","Bacteroides_thetaiotaomicron_methylmalonyl-CoA-epimerase-EC5-1-99-1",936.6,"NZ_CP040530.1_4425/3-517","Bacteroides_thetaiotaomicron_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",89.3,"NZ_CP040530.1_4426/188-303","Bacteroides_thetaiotaomicron_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",860,"NZ_CP040530.1_4836/1-631","Bacteroides_thetaiotaomicron_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"528","Bacteroides_timonensis",611.9,"NZ_CBVI010000031.1_18/8-385","Bacteroides_timonensis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",201,"NZ_CBVI010000031.1_19/1-142","Bacteroides_timonensis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",244.3,"NZ_CBVI010000031.1_22/1-136","Bacteroides_timonensis_methylmalonyl-CoA-epimerase-EC5-1-99-1",934.4,"NZ_CBVI010000031.1_21/3-517","Bacteroides_timonensis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",91.1,"NZ_CBVI010000031.1_20/183-305","Bacteroides_timonensis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",861.7,"NZ_CBVI010000148.1_6/1-617","Bacteroides_timonensis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"534","Bacteroides_vulgatus",613,"NZ_AP025240.1_2480/8-385","Bacteroides_vulgatus_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",199.3,"NZ_AP025240.1_2481/1-143","Bacteroides_vulgatus_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",238.7,"NZ_AP025240.1_2484/1-137","Bacteroides_vulgatus_methylmalonyl-CoA-epimerase-EC5-1-99-1",941.8,"NZ_AP025240.1_2483/3-517","Bacteroides_vulgatus_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",91.3,"NZ_AP025240.1_2482/178-304","Bacteroides_vulgatus_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",869.8,"NZ_AP025240.1_310/1-635","Bacteroides_vulgatus_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"540","Barnesiella_intestinihominis",605.3,"NZ_JH815203.1_391/8-384","Barnesiella_intestinihominis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",181,"NZ_JH815203.1_392/1-143","Barnesiella_intestinihominis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",248.3,"NZ_JH815203.1_395/1-136","Barnesiella_intestinihominis_methylmalonyl-CoA-epimerase-EC5-1-99-1",938.9,"NZ_JH815203.1_394/3-517","Barnesiella_intestinihominis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",86.7,"NZ_JH815203.1_393/186-299","Barnesiella_intestinihominis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",843.9,"NZ_JH815204.1_463/22-707","Barnesiella_intestinihominis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"702","Butyricimonas-virosa-DSM-23226-MAF-2",597.2,"1_2677/29-420","Butyricimonas-virosa-DSM-23226-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",161.3,"1_2678/1-141","Butyricimonas-virosa-DSM-23226-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",230.3,"1_2681/1-132","Butyricimonas-virosa-DSM-23226-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",910.8,"1_2680/1-519","Butyricimonas-virosa-DSM-23226-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",112.6,"1_2679/6-112","Butyricimonas-virosa-DSM-23226-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",842.9,"1_1038/5-625","Butyricimonas-virosa-DSM-23226-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"708","Butyricimonas_faecihominis",595.6,"NZ_JACIES010000001.1_746/29-420","Butyricimonas_faecihominis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",161.9,"NZ_JACIES010000001.1_745/1-143","Butyricimonas_faecihominis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",230.7,"NZ_JACIES010000001.1_742/1-132","Butyricimonas_faecihominis_methylmalonyl-CoA-epimerase-EC5-1-99-1",909.3,"NZ_JACIES010000001.1_743/1-519","Butyricimonas_faecihominis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",114.9,"NZ_JACIES010000001.1_744/6-112","Butyricimonas_faecihominis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",841.7,"NZ_JACIES010000006.1_143/5-625","Butyricimonas_faecihominis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"714","Butyricimonas_paravirosa",595.1,"NZ_BMPA01000006.1_13/29-420","Butyricimonas_paravirosa_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",162.1,"NZ_BMPA01000006.1_12/1-143","Butyricimonas_paravirosa_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",230.7,"NZ_BMPA01000006.1_9/1-132","Butyricimonas_paravirosa_methylmalonyl-CoA-epimerase-EC5-1-99-1",911.1,"NZ_BMPA01000006.1_10/1-519","Butyricimonas_paravirosa_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",114.9,"NZ_BMPA01000006.1_11/6-112","Butyricimonas_paravirosa_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",842.5,"NZ_BMPA01000001.1_420/5-625","Butyricimonas_paravirosa_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
